0.1,
Channel,Type,Title,Mode,Index,CH-Type,Group,
IO+do.He.Dump.Ctrl.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Supply.3Way.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He_Side.Dump.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He_Side.Supply.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.PM.Slot.Vlv.Close,INTERVAL,,DISABLE,0,D,,
IO+do.PM.Slot.Vlv.Open,INTERVAL,,DISABLE,0,D,,
IO+do.PV100,INTERVAL,,DISABLE,0,D,,
IO+do.PV102,INTERVAL,,DISABLE,0,D,,
IO+do.PV103,INTERVAL,,DISABLE,0,D,,
IO+do.PV12_1,INTERVAL,,DISABLE,0,D,,
IO+do.PV12_2,INTERVAL,,DISABLE,0,D,,
IO+do.PV20,INTERVAL,,DISABLE,0,D,,
IO+do.PV22,INTERVAL,,DISABLE,0,D,,
IO+do.PV30,INTERVAL,,DISABLE,0,D,,
IO+do.PV32,INTERVAL,,DISABLE,0,D,,
IO+do.PV40,INTERVAL,,DISABLE,0,D,,
IO+do.PV42,INTERVAL,,DISABLE,0,D,,
IO+do.PV50,INTERVAL,,DISABLE,0,D,,
IO+do.PV52,INTERVAL,,DISABLE,0,D,,
IO+do.PV60,INTERVAL,,DISABLE,0,D,,
IO+do.PV62,INTERVAL,,DISABLE,0,D,,
IO+do.PV70,INTERVAL,,DISABLE,0,D,,
IO+do.PV72,INTERVAL,,DISABLE,0,D,,
IO+do.PV80,INTERVAL,,DISABLE,0,D,,
IO+do.PV82,INTERVAL,,DISABLE,0,D,,
IO+do.PV90,INTERVAL,,DISABLE,0,D,,
IO+do.PV92,INTERVAL,,DISABLE,0,D,,
IO+do.Purge_All_Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.Soft.Vac.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.TMP.N2.Supply.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.TMP.Vac.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.Vac_Line.Heater.Pwr,INTERVAL,,DISABLE,0,D,,
IO+do.Wall.Heater.Pwr,INTERVAL,,DISABLE,0,D,,
IO+si.APC.Device.Check,INTERVAL,,DISABLE,0,S,,
IO+si.APC.Position,INTERVAL,,DISABLE,0,S,,
IO+si.APC.Pressure,INTERVAL,,DISABLE,0,S,,
IO+si.APC.Status,INTERVAL,,DISABLE,0,S,,
IO+si.APC.Vlv.Close.Check,INTERVAL,,DISABLE,0,S,,
IO+si.APC.Vlv.Open.Check,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_1.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_1.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_1.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_1.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_2.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_2.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_2.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_2.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_3.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_3.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_3.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_3.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_4.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_4.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_4.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Chuck.Zone_4.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.Exh.Baffle.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Exh.Baffle.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Exh.Baffle.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.Exh.Baffle.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Exh.Baffle.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.Vac.Line.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Vac.Line.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Vac.Line.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.Vac.Line.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Vac.Line.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater.OverTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater1.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater1.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater2.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater2.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater3.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater3.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater4.LimitTemp,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Heater4.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Temp.Output,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Temp.Read,INTERVAL,,DISABLE,0,S,,
IO+si.Wall.Temp.SetPoint,INTERVAL,,DISABLE,0,S,,
IO+so.APC.Mode.Set,INTERVAL,,DISABLE,0,S,,
IO+so.APC.SetPoint.Data,INTERVAL,,DISABLE,0,S,,
IO+so.APC.SetPoint.Type,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.FORWARD_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.FORWARD_OP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.FORWARD_OP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.FORWARD_OP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.OP_HIGH_LIMIT.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.OP_HIGH_LIMIT.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.OP_HIGH_LIMIT.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.OP_HIGH_LIMIT.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.PV.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.PV.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.PV.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.PV.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.PV_OFFSET.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.PV_OFFSET.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.PV_OFFSET.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.PV_OFFSET.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.WORKING_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.WORKING_OP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.WORKING_OP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.WORKING_OP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.WORKING_SP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.WORKING_SP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.WORKING_SP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.GET.WORKING_SP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_CHUCK+MON.IO.SET.SP.LOOP.01,INTERVAL,,DISABLE,0,A,,
PHY_HTR_CHUCK+MON.IO.SET.SP.LOOP.02,INTERVAL,,DISABLE,0,A,,
PHY_HTR_CHUCK+MON.IO.SET.SP.LOOP.03,INTERVAL,,DISABLE,0,A,,
PHY_HTR_CHUCK+MON.IO.SET.SP.LOOP.04,INTERVAL,,DISABLE,0,A,,
PHY_HTR_EXH+MON.IO.GET.FORWARD_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_EXH+MON.IO.GET.OP_HIGH_LIMIT.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_EXH+MON.IO.GET.PV.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_EXH+MON.IO.GET.PV_OFFSET.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_EXH+MON.IO.GET.WORKING_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_EXH+MON.IO.GET.WORKING_SP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_EXH+MON.IO.SET.SP.LOOP.01,INTERVAL,,DISABLE,0,A,,
PHY_HTR_VAC+MON.IO.GET.FORWARD_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_VAC+MON.IO.GET.OP_HIGH_LIMIT.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_VAC+MON.IO.GET.PV.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_VAC+MON.IO.GET.PV_OFFSET.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_VAC+MON.IO.GET.WORKING_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_VAC+MON.IO.GET.WORKING_SP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_VAC+MON.IO.SET.SP.LOOP.01,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.FORWARD_OP.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.OP_HIGH_LIMIT.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.PV_OFFSET.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_OP.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.01,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.02,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.03,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.04,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.GET.WORKING_SP.LOOP.05,INTERVAL,,DISABLE,0,S,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.01,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.02,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.03,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.04,INTERVAL,,DISABLE,0,A,,
PHY_HTR_WALL+MON.IO.SET.SP.LOOP.05,INTERVAL,,DISABLE,0,A,,
PHY_IO__ESC+ao.ESC.RAMP_TIME.SET,INTERVAL,,DISABLE,0,A,,
PHY_IO__RF_BIAS+PARA.SET.POWER,INTERVAL,,DISABLE,0,A,,
PHY_IO__RF_SRC+PARA.SET.POWER,INTERVAL,,DISABLE,0,A,,
PHY_MFC1+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC1+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC1+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC1+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC2+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC2+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC2+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC2+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC3+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC3+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC3+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC3+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC4+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC4+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC4+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC4+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC5+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC5+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC5+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC5+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC6+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC6+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC6+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC6+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC7+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC7+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC7+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC7+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC8+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC8+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC8+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC8+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC9+MON.MFC.READ.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC9+MON.MFC.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC9+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC9+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_VAT+MON.PRESSURE.TORR,INTERVAL,,DISABLE,0,S,,
PHY_VAT+MON.PRESSURE.mTORR,INTERVAL,,DISABLE,0,S,,
